Date de la facturation, Reference Facture, Mode de payement, Reference Article, Description, Quantité, Prix, Montant
2022/05/05 23:29:23,107, Carte Bancaire, A0001, Kit Pump, 3, 220.0, 660.0
2022/05/05 23:29:23,107, Carte Bancaire, A0002, Pantalon Cargo, 2, 150.0, 300.0
2022/05/05 23:56:46,107, Carte Cheque, A0001, Kit Pump, 3, 220.0, 660.0
2022/05/05 23:57:01,107, Carte Bancaire, A0003, Chaussures de BasketBall, 4, 150.0, 600.0
2022/05/05 23:57:46,107, Carte Cheque, A0008, Bottes de neige, 4, 135.0, 540.0
2022/05/05 23:58:30,107, Espece, A0004, Sac a dos de randonnée, 5, 130.0, 650.0
2022/05/06 00:01:08,107, Carte Bancaire, A0001, Kit Pump, 7, 220.0, 1540.0
2022/05/06 00:01:58,107, Carte Bancaire, A0001, Kit Pump, 2, 220.0, 440.0
2022/05/06 00:07:11,107, Carte Bancaire, A0001, Kit Pump, 3, 220.0, 660.0
2022/05/06 00:07:11,107, Carte Bancaire, A0003, Chaussures de BasketBall, 5, 150.0, 750.0
2022/05/06 00:12:04,107, Carte Bancaire, A0001, Kit Pump, 4, 220.0, 880.0
2022/05/06 00:13:28,107, Carte Bancaire, A0008, Bottes de neige, 9, 135.0, 1215.0
2022/05/06 00:16:16,107, Carte Bancaire, A0001, Kit Pump, 11, 220.0, 2420.0
2022/05/06 00:18:42,108, Espece, A0005, T-shirt Chaud, 8, 130.0, 1040.0
2022/05/06 00:21:28,109, Espece, A0001, Kit Pump, 2, 220.0, 440.0
2022/05/06 00:21:42,110, Carte Bancaire, A0004, Sac a dos de randonnée, 8, 130.0, 1040.0
2022/05/06 00:21:57,111, Carte Cheque, A0008, Bottes de neige, 8, 135.0, 1080.0
2022/05/06 00:22:12,112, Carte Bancaire, A0010, Roller Fitness, 3, 165.0, 495.0
2022/05/06 00:22:29,113, Espece, A0012, Polaire de randonnée, 4, 129.0, 516.0
2022/05/06 00:22:42,114, Carte Cheque, A0017, Trampoline octogonal, 7, 359.0, 2513.0
2022/05/06 00:22:55,115, Carte Bancaire, A0009, Gant Musculation, 3, 126.0, 378.0
2022/05/06 00:23:08,116, Espece, A0001, Kit Pump, 2, 220.0, 440.0
2022/05/06 00:23:29,117, Carte Cheque, A0004, Sac a dos de randonnée, 5, 130.0, 650.0
2022/05/06 00:24:51,118, Carte Cheque, A0011, Set tennis de table, 4, 130.0, 520.0
2022/05/06 00:35:29,119, Carte Bancaire, A0002, Pantalon Cargo, 4, 150.0, 600.0
2022/05/06 00:35:42,120, Carte Cheque, A0007, Sac de couchage, 6, 135.0, 810.0
2022/05/07 19:37:54,121, Carte Bancaire, A0001, Kit Pump, 10, 220.0, 2200.0
2022/05/07 19:37:54,121, Carte Bancaire, A0003, Chaussures de BasketBall, 12, 150.0, 1800.0
2022/05/07 19:38:20,122, Espece, A0002, Pantalon Cargo, 2, 150.0, 300.0
2022/05/07 19:44:29,123, Carte Bancaire, A0001, Kit Pump, 12, 230.0, 2760.0
2022/05/07 19:44:29,123, Carte Bancaire, A0002, Pantalon Cargo, 4, 160.0, 640.0
2022/05/08 22:51:31,124, Carte Bancaire, A0010, Roller Fitness, 2, 175.0, 350.0
